"timepoint"	"id"	"channel"	"np"	"peakArea"
"1"	1	"pep32338205_rep1"	1	0	559513
"2"	1	"pep32338205_rep2"	1	0	677248
"3"	1	"pep32338205_rep3"	1	0	505981
"4"	1	"pep32338205_rep4"	1	0	721200
"5"	1	"pep32338205_rep5"	1	0	1033460
"6"	1	"pep32338205_rep1"	2	0	1035334
"7"	1	"pep32338205_rep2"	2	0	663018
"8"	1	"pep32338205_rep3"	2	0	NA
"9"	1	"pep32338205_rep4"	2	0	631231
"10"	1	"pep32338205_rep5"	2	0	NA
"11"	1	"pep32338205_rep1"	3	0	NA
"12"	1	"pep32338205_rep2"	3	0	NA
"13"	1	"pep32338205_rep3"	3	0	NA
"14"	1	"pep32338205_rep4"	3	0	NA
"15"	1	"pep32338205_rep5"	3	0	NA
"16"	2	"pep32338205_rep1"	1	0	1729755
"17"	2	"pep32338205_rep2"	1	0	658076
"18"	2	"pep32338205_rep3"	1	0	522098
"19"	2	"pep32338205_rep4"	1	0	236739
"20"	2	"pep32338205_rep5"	1	0	749462
"21"	2	"pep32338205_rep1"	2	0	906375
"22"	2	"pep32338205_rep2"	2	0	673169
"23"	2	"pep32338205_rep3"	2	0	NA
"24"	2	"pep32338205_rep4"	2	0	875040
"25"	2	"pep32338205_rep5"	2	0	NA
"26"	2	"pep32338205_rep1"	3	0	NA
"27"	2	"pep32338205_rep2"	3	0	NA
"28"	2	"pep32338205_rep3"	3	0	NA
"29"	2	"pep32338205_rep4"	3	0	NA
"30"	2	"pep32338205_rep5"	3	0	NA
"31"	3	"pep32338205_rep1"	1	0	813510
"32"	3	"pep32338205_rep2"	1	0	801403
"33"	3	"pep32338205_rep3"	1	0	747556
"34"	3	"pep32338205_rep4"	1	0	778822
"35"	3	"pep32338205_rep5"	1	0	540119
"36"	3	"pep32338205_rep1"	2	0	902469
"37"	3	"pep32338205_rep2"	2	0	190938
"38"	3	"pep32338205_rep3"	2	0	NA
"39"	3	"pep32338205_rep4"	2	0	315926
"40"	3	"pep32338205_rep5"	2	0	NA
"41"	3	"pep32338205_rep1"	3	0	NA
"42"	3	"pep32338205_rep2"	3	0	NA
"43"	3	"pep32338205_rep3"	3	0	NA
"44"	3	"pep32338205_rep4"	3	0	NA
"45"	3	"pep32338205_rep5"	3	0	NA
"46"	4	"pep32338205_rep1"	1	0	417739
"47"	4	"pep32338205_rep2"	1	0	1319220
