id	channel	np	peakArea
pep32337186_rep1	1	0	25217
pep32337186_rep1	1	1	427240
pep32337186_rep1	1	1	60989212
pep32337186_rep3	1	0	138440129
pep32337186_rep3	1	1	1407508
pep32337186_rep3	1	1	72303634
pep32337186_rep3	1	1	3533
pep32337186_rep4	1	0	147085137
pep32337186_rep4	1	1	446609
pep32337186_rep4	1	1	82455868
pep32337186_rep5	1	0	235950828
pep32337186_rep5	1	1	2551432
pep32337186_rep5	1	1	65912178
pep32337186_rep1	2	0	275563176
pep32337186_rep1	2	1	1259363
pep32337186_rep1	2	1	76773684
pep32337186_rep2	2	0	253122892
pep32337186_rep2	2	1	7740
pep32337186_rep2	2	1	71716522
pep32337186_rep2	2	1	535189
pep32337186_rep4	2	0	274421912
pep32337186_rep4	2	1	199252
pep32337186_rep4	2	1	82258105
