id	channel	np	peakArea
pep32338181_rep1	1	0	321218
pep32338181_rep1	1	1	20336136
pep32338181_rep1	1	1	92166248
pep32338181_rep1	1	1	114160920
pep32338181_rep2	1	0	606536
pep32338181_rep2	1	1	19758150
pep32338181_rep2	1	1	90655852
pep32338181_rep2	1	1	89617558
pep32338181_rep3	1	0	285163
pep32338181_rep3	1	1	37747409
pep32338181_rep3	1	1	204731888
pep32338181_rep3	1	1	180612395
pep32338181_rep4	1	0	849140
pep32338181_rep4	1	1	34388134
pep32338181_rep4	1	1	196426435
pep32338181_rep4	1	1	176736337
pep32338181_rep5	1	0	438051
pep32338181_rep5	1	1	56413968
pep32338181_rep5	1	1	268454748
pep32338181_rep5	1	1	212788029
pep32338181_rep1	2	0	929137
pep32338181_rep1	2	1	53546273
pep32338181_rep1	2	1	259770092
pep32338181_rep1	2	1	211318425
pep32338181_rep2	2	0	342005
pep32338181_rep2	2	1	47798601
pep32338181_rep2	2	1	229909302
pep32338181_rep2	2	1	244833308
pep32338181_rep4	2	0	1127291
pep32338181_rep4	2	1	45641394
pep32338181_rep4	2	1	223031172
pep32338181_rep4	2	1	243942258
